label,text
math,"2 + 2 = 4"
math,"Solve for x: 3x + 5 = 14"
math,"The derivative of x^2 is 2x"
math,"Compute the integral of sin(x) dx"
math,"What is the value of pi?"
code,"def add(a, b): return a + b"
code,"for i in range(10): print(i)"
code,"if (x > 0) { console.log(x); }"
code,"SELECT * FROM users WHERE id = 1;"
code,"function fib(n) { if(n<=1) return n; return fib(n-1)+fib(n-2); }"
narrative,"The hero embarked on a quest to save the kingdom." 
narrative,"In a distant land, a young programmer studied day and night." 
narrative,"Once upon a time, there was a magical algorithm." 
narrative,"She whispered a command and the machine obeyed." 
narrative,"Legends spoke of a ledger that recorded every secret." 
